,mean,sigma,low,high
Omega_m,0.3159746189234073,0.007890231727043421,0.29230392374227704,0.3396453141045375
sigma_8,0.8312292946993411,0.006842088923292388,0.810703027929464,0.8517555614692183
n_s,0.9612704802889331,0.018267269718548272,0.9064686711332883,1.016072289444578
w0,-0.99167820853978,0.09444730705814003,-1.2750201297142,-0.7083362873653598
wa,-0.02278635680231562,0.32617460453348557,-1.0013101704027723,0.955737456798141
Omega_b,0.048489035837729205,0.00350237841169693,0.03798190060263842,0.05899617107281999
h0,0.6735488025805932,0.02884265621577707,0.587020833933262,0.7600767712279245
A_ia,0.4982185791815233,0.03391788434342829,0.3964649261512384,0.5999722322118082
eta_ia,-0.029276503948673968,0.21335257083870898,-0.669334216464801,0.610781208567453
gas_0,1.170025697865236,0.003731661456173856,1.1588307134967144,1.1812206822337574
gas_1,0.612492696873142,0.11645791222068737,0.2631189602110799,0.9618664335352041
gas_2,14.045528967810496,0.2151745633321444,13.400005277814063,14.691052657806928
gas_3,1.0394240660594625,0.1364937866212937,0.6299427061955813,1.4489054259233436
gas_7,6.507355350411309,0.05250513599918139,6.349839942413765,6.664870758408854
gas_8,0.7498665636677079,0.028728447468568688,0.6636812212620018,0.836051906073414
gas_9,0.00611576810669906,0.08833280631999102,-0.258882650853274,0.2711141870666721
gas_10,0.005717099351590288,0.07665559132829512,-0.22424967463329507,0.23568387333647564
